Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-22,39.68,39.81,39.32,39.53,43095800,0.0,0
2014-07-23,40.07,40.07,39.34,39.56,52362900,0.0,0
2014-07-24,39.62,39.68,39.08,39.15,30725300,0.0,0
2014-07-25,39.06,39.38,39.06,39.24,26737700,0.0,0
2014-07-28,39.11,39.25,38.73,38.77,29684200,0.0,0
2014-07-29,38.72,38.88,38.48,38.7,27763100,0.0,0
2014-07-30,38.86,38.88,38.17,38.43,31921400,0.0,0
2014-07-31,38.25,38.52,37.98,38.06,31537500,0.0,0
2014-08-01,38.1,38.13,37.56,37.79,31170300,0.0,0
2014-08-04,37.89,38.33,37.75,38.24,34277400,0.0,0
2014-08-05,38.19,38.32,37.76,37.98,26266400,0.0,0
2014-08-06,37.68,38.06,37.22,37.68,24634000,0.0,0
2014-08-07,37.77,38.31,37.61,38.12,30314900,0.0,0
2014-08-08,38.12,38.2,37.83,38.09,28942700,0.0,0
2014-08-11,38.14,38.31,37.93,38.09,20351600,0.0,0
2014-08-12,37.95,38.43,37.91,38.37,21431100,0.0,0
2014-08-13,38.51,38.95,38.37,38.87,22889500,0.0,0
2014-08-14,38.87,39.17,38.8,39.03,19313200,0.0,0
2014-08-15,39.31,39.59,39.15,39.49,41611300,0.0,0
2014-08-18,39.62,39.77,39.4,39.77,26891100,0.0,0
2014-08-19,39.9,40.23,39.77,40.22,28139500,0.28,0
2014-08-20,40.23,40.28,39.84,39.88,24770500,0.0,0
2014-08-21,39.78,40.15,39.77,40.12,22285500,0.0,0
2014-08-22,40.24,40.34,39.99,40.06,18294500,0.0,0
2014-08-25,40.28,40.32,39.96,40.08,16910000,0.0,0
2014-08-26,40.2,40.28,39.87,39.93,14873100,0.0,0
2014-08-27,39.84,39.93,39.71,39.81,21287900,0.0,0
2014-08-28,39.7,39.91,39.58,39.82,17657600,0.0,0
2014-08-29,40.01,40.32,39.8,40.31,21607600,0.0,0
2014-09-02,40.31,40.33,39.79,40.01,22976800,0.0,0
2014-09-03,39.51,40.02,39.51,39.89,33684500,0.0,0
2014-09-04,39.69,40.16,39.68,40.16,26475500,0.0,0
2014-09-05,40.02,40.75,40.02,40.73,36939400,0.0,0
2014-09-08,40.83,41.52,40.8,41.23,45736700,0.0,0
2014-09-09,41.23,41.67,41.19,41.49,40302400,0.0,0
2014-09-10,41.54,41.65,41.06,41.56,27302400,0.0,0
2014-09-11,41.47,41.7,41.23,41.7,29216400,0.0,0
2014-09-12,41.62,41.72,41.34,41.43,38244700,0.0,0
2014-09-15,41.29,41.44,40.9,41.03,37667600,0.0,0
2014-09-16,41.16,41.57,41.07,41.49,27910600,0.0,0
2014-09-17,41.04,41.42,41.02,41.27,38311900,0.0,0
2014-09-18,41.34,41.55,41.22,41.42,35556600,0.0,0
2014-09-19,41.53,42.21,41.34,42.16,202522400,0.0,0
2014-09-22,41.97,42.04,41.68,41.75,38686100,0.0,0
2014-09-23,41.57,41.68,41.23,41.31,33430300,0.0,0
2014-09-24,41.37,41.8,41.11,41.77,26582700,0.0,0
2014-09-25,41.59,41.78,40.84,40.85,33077400,0.0,0
2014-09-26,40.75,41.36,40.6,41.18,27078800,0.0,0
2014-09-29,40.79,41.31,40.6,41.2,26091000,0.0,0
2014-09-30,41.14,41.24,40.82,41.13,33033100,0.0,0
2014-10-01,41.05,41.28,40.68,40.72,38088400,0.0,0
2014-10-02,40.66,40.9,40.49,40.6,25119400,0.0,0
2014-10-03,40.79,41.08,40.47,40.89,32453200,0.0,0
2014-10-06,40.92,41.08,40.74,40.89,20604000,0.0,0
2014-10-07,40.69,40.75,40.3,40.4,25723700,0.0,0
2014-10-08,40.35,41.6,40.23,41.5,33031000,0.0,0
2014-10-09,41.26,41.52,40.58,40.68,34422800,0.0,0
2014-10-10,40.46,40.92,38.99,39.06,51978100,0.0,0
2014-10-13,38.88,39.53,38.59,38.73,37100200,0.0,0
2014-10-14,38.92,39.38,38.65,38.8,38115700,0.0,0
2014-10-15,38.15,38.5,37.35,38.35,60218700,0.0,0
2014-10-16,37.73,38.22,37.46,37.92,49040400,0.0,0
2014-10-17,38.33,38.98,37.96,38.71,40683300,0.0,0
2014-10-20,38.2,39.16,37.98,39.11,34527900,0.0,0
2014-10-21,39.36,39.91,39.21,39.82,36433800,0.0,0
2014-10-22,39.93,39.99,39.24,39.38,33570900,0.0,0
2014-10-23,39.59,40.32,39.51,39.94,45451900,0.0,0
2014-10-24,41.55,41.61,40.09,40.93,61076700,0.0,0
