Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,%Change,Result
2014-07-22,355.25,362.93,355.25,360.84,2888900,0,0,5.59,1.57%,1.0
2014-07-23,359.05,360.63,356.62,358.14,2687300,0,0,-0.91,-0.25%,0.0
2014-07-24,359.98,364.85,358.52,358.61,7088700,0,0,-1.37,-0.38%,0.0
2014-07-25,317.3,324.87,314.76,324.01,17846500,0,0,6.71,2.11%,1.0
2014-07-28,324.25,324.82,316.5,320.41,5932000,0,0,-3.84,-1.18%,0.0
2014-07-29,321.98,322.9,319.5,320.0,2883800,0,0,-1.98,-0.61%,0.0
2014-07-30,321.45,322.73,318.5,322.51,3969000,0,0,1.06,0.33%,1.0
2014-07-31,320.01,320.68,311.86,312.99,5192000,0,0,-7.02,-2.19%,0.0
2014-08-01,313.69,315.83,304.59,307.06,7441500,0,0,-6.63,-2.11%,0.0
2014-08-04,308.84,316.18,308.5,313.65,4200900,0,0,4.81,1.56%,1.0
2014-08-05,313.3,314.55,310.06,312.32,2852100,0,0,-0.98,-0.31%,0.0
2014-08-06,310.83,315.78,310.2,313.89,2296900,0,0,3.06,0.98%,1.0
2014-08-07,315.21,315.88,309.65,311.45,2935600,0,0,-3.76,-1.19%,0.0
2014-08-08,311.94,317.32,310.66,316.8,2705900,0,0,4.86,1.56%,1.0
2014-08-11,318.48,320.38,316.88,318.33,2468600,0,0,-0.15,-0.05%,0.0
2014-08-12,318.89,321.31,316.95,319.32,1915800,0,0,0.43,0.13%,1.0
2014-08-13,327.6,331.72,326.14,326.28,4939100,0,0,-1.32,-0.40%,0.0
2014-08-14,327.8,334.09,326.71,333.21,3420400,0,0,5.41,1.65%,1.0
2014-08-15,334.0,335.0,328.32,333.63,3896700,0,0,-0.37,-0.11%,0.0
2014-08-18,335.48,337.8,333.77,334.53,2485400,0,0,-0.95,-0.28%,0.0
2014-08-19,334.87,335.81,333.01,335.13,1713800,0,0,0.26,0.08%,1.0
2014-08-20,334.68,337.16,334.02,335.78,1810500,0,0,1.10,0.33%,1.0
2014-08-21,336.48,336.58,332.23,332.91,1971100,0,0,-3.57,-1.06%,0.0
2014-08-22,332.99,334.08,330.8,331.59,2211200,0,0,-1.40,-0.42%,0.0
2014-08-25,333.21,336.77,332.71,334.02,1957700,0,0,0.81,0.24%,1.0
2014-08-26,337.0,344.36,334.55,341.83,3654700,0,0,4.83,1.43%,1.0
2014-08-27,342.09,346.67,341.34,343.18,2961600,0,0,1.09,0.32%,1.0
2014-08-28,340.0,341.79,338.8,340.02,2252700,0,0,0.02,0.01%,1.0
2014-08-29,341.76,341.82,337.68,339.04,1939500,0,0,-2.72,-0.80%,0.0
2014-09-02,339.98,342.5,337.16,342.38,2326000,0,0,2.40,0.71%,1.0
2014-09-03,342.54,343.27,337.55,339.0,1993700,0,0,-3.54,-1.03%,0.0
2014-09-04,343.69,349.38,343.58,345.95,3965600,0,0,2.26,0.66%,1.0
2014-09-05,346.3,346.83,342.5,346.38,2107000,0,0,0.08,0.02%,1.0
2014-09-08,344.54,345.81,339.04,342.34,2955300,0,0,-2.20,-0.64%,0.0
2014-09-09,341.61,341.76,329.18,329.75,4646800,0,0,-11.86,-3.47%,0.0
2014-09-10,334.3,334.98,328.82,331.33,3797400,0,0,-2.97,-0.89%,0.0
2014-09-11,329.94,333.01,326.39,330.52,2720200,0,0,0.58,0.18%,1.0
2014-09-12,329.56,332.89,328.79,331.19,3429300,0,0,1.63,0.49%,1.0
2014-09-15,330.91,331.33,319.0,323.89,4000400,0,0,-7.02,-2.12%,0.0
2014-09-16,321.07,329.48,320.1,327.76,3259900,0,0,6.69,2.08%,1.0
2014-09-17,327.76,328.0,321.52,324.0,4136000,0,0,-3.76,-1.15%,0.0
2014-09-18,325.44,327.1,323.71,325.0,2576900,0,0,-0.44,-0.14%,0.0
2014-09-19,327.6,332.76,325.57,331.32,6886200,0,0,3.72,1.14%,1.0
2014-09-22,328.49,329.49,321.06,324.5,3109700,0,0,-3.99,-1.21%,0.0
2014-09-23,322.46,327.6,321.25,323.63,2352600,0,0,1.17,0.36%,1.0
2014-09-24,324.17,329.44,319.56,328.21,2642200,0,0,4.04,1.25%,1.0
2014-09-25,327.99,328.54,321.4,321.93,2928800,0,0,-6.06,-1.85%,0.0
2014-09-26,320.6,323.5,317.64,323.21,3638000,0,0,2.61,0.81%,1.0
2014-09-29,320.5,323.75,319.0,321.82,1924600,0,0,1.32,0.41%,1.0
2014-09-30,321.36,323.43,318.51,322.44,2636200,0,0,1.08,0.34%,1.0
2014-10-01,322.04,322.17,315.55,317.46,3089100,0,0,-4.58,-1.42%,0.0
2014-10-02,316.92,318.53,311.31,318.41,3553900,0,0,1.49,0.47%,1.0
2014-10-03,320.36,325.16,319.53,322.74,3037400,0,0,2.38,0.74%,1.0
2014-10-06,323.5,324.13,319.6,322.2,2290300,0,0,-1.30,-0.40%,0.0
2014-10-07,319.43,322.0,316.67,316.98,2365400,0,0,-2.45,-0.77%,0.0
2014-10-08,316.58,324.11,314.14,322.7,3452800,0,0,6.12,1.93%,1.0
2014-10-09,321.49,322.27,314.52,315.37,3587900,0,0,-6.12,-1.90%,0.0
2014-10-10,314.02,317.77,311.38,311.39,3681900,0,0,-2.63,-0.84%,0.0
2014-10-13,309.87,313.2,303.47,306.45,4363900,0,0,-3.42,-1.10%,0.0
2014-10-14,308.0,312.24,305.75,308.31,3385800,0,0,0.31,0.10%,1.0
2014-10-15,304.35,307.9,299.1,305.97,5343900,0,0,1.62,0.53%,1.0
2014-10-16,293.83,306.82,293.83,302.86,4731300,0,0,9.03,3.07%,1.0
2014-10-17,307.15,309.2,302.72,303.64,4405100,0,0,-3.51,-1.14%,0.0
2014-10-20,302.95,306.53,302.02,306.21,3234500,0,0,3.26,1.08%,1.0
2014-10-21,309.9,315.64,307.07,315.33,3559300,0,0,5.43,1.75%,1.0
2014-10-22,315.43,318.98,312.64,312.97,3125900,0,0,-2.46,-0.78%,0.0
2014-10-23,313.4,316.8,311.4,313.18,9038200,0,0,-0.22,-0.07%,0.0
2014-10-24,284.4,293.81,284.0,287.06,19801100,0,0,2.66,0.94%,1.0
2014-10-27,285.7,290.42,285.02,289.97,5950600,0,0,4.27,1.49%,1.0
2014-10-28,289.76,298.0,289.76,295.59,5572600,0,0,5.83,2.01%,1.0
2014-10-29,299.11,299.61,293.07,294.12,4881900,0,0,-4.99,-1.67%,0.0
2014-10-30,293.98,299.74,292.36,299.07,4055200,0,0,5.09,1.73%,1.0
