Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,%Change,Result
2014-07-22,85.75,85.94,85.25,85.79,55197000,0.0,0,0.04,0.05%,1.0
2014-07-23,86.42,88.65,86.2,88.03,92918000,0.0,0,1.61,1.86%,1.0
2014-07-24,87.89,88.14,87.33,87.88,45729000,0.0,0,-0.01,-0.01%,0.0
2014-07-25,87.72,88.62,87.53,88.46,43469000,0.0,0,0.74,0.84%,1.0
2014-07-28,88.6,89.88,88.35,89.68,55318000,0.0,0,1.08,1.22%,1.0
2014-07-29,89.96,90.06,88.99,89.1,43143000,0.0,0,-0.86,-0.96%,0.0
2014-07-30,89.16,89.39,88.46,88.9,33010000,0.0,0,-0.26,-0.29%,0.0
2014-07-31,88.0,88.26,86.34,86.59,56843000,0.0,0,-1.41,-1.60%,0.0
2014-08-01,85.95,87.51,85.87,87.07,48511000,0.0,0,1.12,1.30%,1.0
2014-08-04,87.28,87.47,86.2,86.58,39958000,0.0,0,-0.70,-0.80%,0.0
2014-08-05,86.37,86.66,85.46,86.15,55933000,0.0,0,-0.22,-0.25%,0.0
2014-08-06,85.82,86.48,85.78,86.01,38558000,0.0,0,0.19,0.22%,1.0
2014-08-07,86.41,87.34,85.65,86.0,46711000,0.47,0,-0.41,-0.47%,0.0
2014-08-08,85.8,86.31,84.91,86.23,41865000,0.0,0,0.43,0.50%,1.0
2014-08-11,86.72,87.45,86.33,87.37,36585000,0.0,0,0.65,0.75%,1.0
2014-08-12,87.42,88.18,87.03,87.35,33795000,0.0,0,-0.07,-0.08%,0.0
2014-08-13,87.52,88.51,87.42,88.51,31916000,0.0,0,0.99,1.13%,1.0
2014-08-14,88.59,88.81,88.11,88.75,28116000,0.0,0,0.16,0.18%,1.0
2014-08-15,89.11,89.37,88.16,89.18,48951000,0.0,0,0.07,0.08%,1.0
2014-08-18,89.65,90.45,89.18,90.26,47572000,0.0,0,0.61,0.68%,1.0
2014-08-19,90.48,91.64,90.4,91.5,69399000,0.0,0,1.02,1.13%,1.0
2014-08-20,91.42,92.01,90.98,91.54,52699000,0.0,0,0.12,0.13%,1.0
2014-08-21,91.54,91.88,91.12,91.55,33478000,0.0,0,0.01,0.01%,1.0
2014-08-22,91.29,92.36,91.19,92.22,44184000,0.0,0,0.93,1.02%,1.0
2014-08-25,92.65,93.0,92.19,92.42,40270000,0.0,0,-0.23,-0.25%,0.0
2014-08-26,92.31,92.39,91.8,91.83,33152000,0.0,0,-0.48,-0.52%,0.0
2014-08-27,91.95,93.36,91.66,92.96,52369000,0.0,0,1.01,1.10%,1.0
2014-08-28,92.47,93.55,92.44,93.07,68460000,0.0,0,0.60,0.65%,1.0
2014-08-29,93.63,93.66,93.02,93.3,44595000,0.0,0,-0.33,-0.35%,0.0
2014-09-02,93.81,94.43,93.5,94.03,53564000,0.0,0,0.22,0.23%,1.0
2014-09-03,93.84,93.93,89.73,90.06,125421000,0.0,0,-3.78,-4.03%,0.0
2014-09-04,89.98,91.1,89.01,89.31,85718000,0.0,0,-0.67,-0.74%,0.0
2014-09-05,89.93,90.47,89.48,90.08,58457000,0.0,0,0.15,0.17%,1.0
2014-09-08,90.38,90.39,89.25,89.53,46356700,0.0,0,-0.85,-0.94%,0.0
2014-09-09,90.18,93.83,87.51,89.19,189846300,0.0,0,-0.99,-1.10%,0.0
2014-09-10,89.21,92.03,88.98,91.93,100869600,0.0,0,2.72,3.05%,1.0
2014-09-11,91.4,92.33,90.68,92.32,62353100,0.0,0,0.92,1.01%,1.0
2014-09-12,92.12,93.02,92.01,92.53,62626100,0.0,0,0.41,0.45%,1.0
2014-09-15,93.58,93.8,92.33,92.51,61316500,0.0,0,-1.07,-1.14%,0.0
2014-09-16,90.84,92.17,90.01,91.8,66908100,0.0,0,0.96,1.06%,1.0
2014-09-17,92.18,92.66,91.56,92.46,60926500,0.0,0,0.28,0.30%,1.0
2014-09-18,92.78,93.16,92.44,92.65,37299400,0.0,0,-0.13,-0.14%,0.0
2014-09-19,93.11,93.16,91.48,91.9,70902400,0.0,0,-1.21,-1.30%,0.0
2014-09-22,92.66,92.97,91.55,91.99,52788400,0.0,0,-0.67,-0.72%,0.0
2014-09-23,91.57,93.7,91.51,93.43,63402200,0.0,0,1.86,2.03%,1.0
2014-09-24,92.99,93.62,92.11,92.61,60171800,0.0,0,-0.38,-0.41%,0.0
2014-09-25,91.49,91.67,88.95,89.08,100092000,0.0,0,-2.41,-2.63%,0.0
2014-09-26,89.68,91.7,89.57,91.7,62370500,0.0,0,2.02,2.25%,1.0
2014-09-29,89.79,91.42,89.78,91.12,49766300,0.0,0,1.33,1.48%,1.0
2014-09-30,91.76,92.42,91.5,91.7,55264100,0.0,0,-0.06,-0.07%,0.0
2014-10-01,91.56,91.65,89.84,90.28,51491300,0.0,0,-1.28,-1.40%,0.0
2014-10-02,90.36,91.22,89.24,90.93,47757800,0.0,0,0.57,0.63%,1.0
2014-10-03,90.51,91.21,90.15,90.68,43469600,0.0,0,0.17,0.19%,1.0
2014-10-06,90.98,91.61,90.49,90.68,37051200,0.0,0,-0.30,-0.33%,0.0
2014-10-07,90.5,91.13,89.87,89.88,42094200,0.0,0,-0.62,-0.69%,0.0
2014-10-08,89.89,92.03,89.48,91.75,57404700,0.0,0,1.86,2.07%,1.0
2014-10-09,92.42,93.19,91.58,91.95,77376500,0.0,0,-0.47,-0.51%,0.0
2014-10-10,91.65,92.87,91.3,91.69,66331600,0.0,0,0.04,0.04%,1.0
2014-10-13,92.23,92.64,90.85,90.85,53583400,0.0,0,-1.38,-1.50%,0.0
2014-10-14,91.38,91.5,89.72,89.88,63688600,0.0,0,-1.50,-1.64%,0.0
2014-10-15,89.17,90.25,86.63,88.78,100933600,0.0,0,-0.39,-0.44%,0.0
2014-10-16,86.97,88.95,86.84,87.62,72154500,0.0,0,0.65,0.75%,1.0
2014-10-17,88.75,90.11,88.12,88.9,68179700,0.0,0,0.15,0.17%,1.0
2014-10-20,89.49,90.99,89.4,90.8,77517300,0.0,0,1.31,1.46%,1.0
2014-10-21,93.77,93.77,92.18,93.27,94623900,0.0,0,-0.50,-0.53%,0.0
2014-10-22,93.61,94.76,93.39,93.74,68263100,0.0,0,0.13,0.14%,1.0
2014-10-23,94.74,95.62,94.33,95.42,71074700,0.0,0,0.68,0.72%,1.0
2014-10-24,95.74,96.02,95.15,95.77,47053900,0.0,0,0.03,0.03%,1.0
2014-10-27,95.44,96.01,95.3,95.67,34187700,0.0,0,0.23,0.24%,1.0
2014-10-28,95.94,97.16,95.89,97.16,48060900,0.0,0,1.22,1.27%,1.0
2014-10-29,97.07,97.73,96.81,97.7,52687900,0.0,0,0.63,0.65%,1.0
2014-10-30,97.36,97.71,96.39,97.38,40654800,0.0,0,0.02,0.02%,1.0
2014-10-31,98.31,98.34,97.58,98.3,44639300,0.0,0,-0.01,-0.01%,0.0
2014-11-03,98.5,100.4,98.31,99.58,52282600,0.0,0,1.08,1.10%,1.0
2014-11-04,99.54,99.66,98.05,98.85,41574400,0.0,0,-0.69,-0.69%,0.0
2014-11-05,99.31,99.49,98.42,99.09,37435900,0.0,0,-0.22,-0.22%,0.0
2014-11-06,99.28,99.45,98.55,99.37,34968500,0.47,0,0.09,0.09%,1.0
2014-11-07,99.42,99.94,99.23,99.65,33691500,0.0,0,0.23,0.23%,1.0
2014-11-10,99.66,99.95,99.34,99.49,27195500,0.0,0,-0.17,-0.17%,0.0
2014-11-11,99.37,100.33,99.1,100.28,27442300,0.0,0,0.91,0.92%,1.0
2014-11-12,99.99,101.87,99.98,101.7,46942400,0.0,0,1.71,1.71%,1.0
2014-11-13,102.2,103.71,102.02,103.14,59522900,0.0,0,0.94,0.92%,1.0
2014-11-14,103.44,104.39,101.66,104.38,44063600,0.0,0,0.94,0.91%,1.0
2014-11-17,104.46,107.21,103.58,104.21,46746700,0.0,0,-0.25,-0.24%,0.0
2014-11-18,104.16,105.76,104.11,105.56,44224000,0.0,0,1.40,1.34%,1.0
2014-11-19,105.53,105.81,104.03,104.83,41869200,0.0,0,-0.70,-0.66%,0.0
2014-11-20,105.05,106.83,104.99,106.33,43395500,0.0,0,1.28,1.22%,1.0
2014-11-21,107.42,107.48,106.07,106.47,57179300,0.0,0,-0.95,-0.88%,0.0
2014-11-24,106.82,108.58,106.61,108.45,47450800,0.0,0,1.63,1.53%,1.0
2014-11-25,108.85,109.47,107.37,107.51,68840400,0.0,0,-1.34,-1.23%,0.0
2014-11-26,107.82,108.88,107.72,108.79,40768300,0.0,0,0.97,0.90%,1.0
2014-11-28,109.03,109.15,107.92,108.72,24814400,0.0,0,-0.31,-0.28%,0.0
2014-12-01,108.61,109.01,101.72,105.19,83814000,0.0,0,-3.42,-3.15%,0.0
2014-12-02,103.76,105.81,103.07,104.79,59348900,0.0,0,1.03,0.99%,1.0
2014-12-03,105.81,106.36,105.23,105.98,43063400,0.0,0,0.17,0.16%,1.0
2014-12-04,105.83,107.14,105.39,105.58,42044500,0.0,0,-0.25,-0.24%,0.0
2014-12-05,106.03,106.12,104.8,105.13,38318900,0.0,0,-0.90,-0.85%,0.0
2014-12-08,104.31,104.81,102.04,102.75,57664900,0.0,0,-1.56,-1.50%,0.0
2014-12-09,100.73,104.49,99.96,104.32,60208000,0.0,0,3.59,3.56%,1.0
2014-12-10,104.59,104.99,101.97,102.34,44565300,0.0,0,-2.25,-2.15%,0.0
2014-12-11,102.62,104.03,101.78,102.04,41401700,0.0,0,-0.58,-0.57%,0.0
2014-12-12,100.98,102.27,100.17,100.31,56028100,0.0,0,-0.67,-0.66%,0.0
2014-12-15,101.2,102.02,97.22,98.94,67218100,0.0,0,-2.26,-2.23%,0.0
2014-12-16,97.24,100.7,97.14,97.59,60790700,0.0,0,0.35,0.36%,1.0
2014-12-17,97.93,100.41,97.65,100.02,53411800,0.0,0,2.09,2.13%,1.0
2014-12-18,102.27,102.98,101.16,102.98,59006200,0.0,0,0.71,0.69%,1.0
2014-12-19,102.62,103.52,102.08,102.19,88429800,0.0,0,-0.43,-0.42%,0.0
2014-12-22,102.53,103.75,102.36,103.25,45167500,0.0,0,0.72,0.70%,1.0
2014-12-23,103.51,103.6,102.81,102.88,26028400,0.0,0,-0.63,-0.61%,0.0
2014-12-24,102.92,103.04,102.4,102.4,14479600,0.0,0,-0.52,-0.51%,0.0
