Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,%Change,Result
2014-07-22,222.19,223.3,219.11,219.58,2730000,0,0,-2.61,-1.17%,0.0
2014-07-23,220.01,224.75,219.43,222.49,3083300,0,0,2.48,1.13%,1.0
2014-07-24,223.25,225.1,220.8,223.54,3245500,0,0,0.29,0.13%,1.0
2014-07-25,222.72,226.97,221.75,223.57,3087100,0,0,0.85,0.38%,1.0
2014-07-28,224.25,232.0,221.4,224.82,6514300,0,0,0.57,0.25%,1.0
2014-07-29,226.61,228.3,224.86,225.01,3382400,0,0,-1.60,-0.71%,0.0
2014-07-30,221.92,229.6,221.04,228.92,4927800,0,0,7.00,3.15%,1.0
2014-07-31,229.26,231.4,221.5,223.3,7749100,0,0,-5.96,-2.60%,0.0
2014-08-01,226.09,237.5,226.0,233.27,11895800,0,0,7.18,3.18%,1.0
2014-08-04,234.38,240.5,233.27,238.52,5959700,0,0,4.14,1.77%,1.0
2014-08-05,237.47,242.99,235.69,238.49,5388600,0,0,1.02,0.43%,1.0
2014-08-06,238.9,251.42,238.58,248.93,9249300,0,0,10.03,4.20%,1.0
2014-08-07,250.12,256.69,249.12,252.39,7478900,0,0,2.27,0.91%,1.0
2014-08-08,251.16,251.76,246.5,248.13,5090100,0,0,-3.03,-1.21%,0.0
2014-08-11,255.48,263.74,255.0,259.32,8101300,0,0,3.84,1.50%,1.0
2014-08-12,258.08,260.3,254.58,259.96,6382300,0,0,1.88,0.73%,1.0
2014-08-13,262.01,265.64,259.61,260.31,6932600,0,0,-1.70,-0.65%,0.0
2014-08-14,262.49,263.0,256.5,261.38,4126600,0,0,-1.11,-0.42%,0.0
2014-08-15,261.48,262.09,258.5,262.01,3867900,0,0,0.53,0.20%,1.0
2014-08-18,263.25,267.26,259.75,259.94,5849200,0,0,-3.31,-1.26%,0.0
2014-08-19,258.87,259.33,251.62,256.76,5334800,0,0,-2.11,-0.82%,0.0
2014-08-20,254.67,258.74,253.0,255.71,3027900,0,0,1.04,0.41%,1.0
2014-08-21,256.52,258.8,253.26,254.34,2915600,0,0,-2.18,-0.85%,0.0
2014-08-22,254.54,256.95,252.61,256.78,2833400,0,0,2.24,0.88%,1.0
2014-08-25,258.19,263.68,258.19,262.55,4318100,0,0,4.36,1.69%,1.0
2014-08-26,264.98,265.5,261.66,261.74,3818000,0,0,-3.24,-1.22%,0.0
2014-08-27,263.5,264.24,260.29,263.25,2985100,0,0,-0.25,-0.09%,0.0
2014-08-28,261.89,264.48,261.64,263.86,2844900,0,0,1.97,0.75%,1.0
2014-08-29,268.7,272.0,267.51,269.7,6447100,0,0,1.00,0.37%,1.0
2014-09-02,275.5,284.89,274.3,284.12,9852400,0,0,8.62,3.13%,1.0
2014-09-03,287.67,288.0,280.1,281.19,6772300,0,0,-6.48,-2.25%,0.0
2014-09-04,284.01,291.42,280.4,286.04,8341700,0,0,2.03,0.71%,1.0
2014-09-05,282.55,282.9,272.51,277.39,11169900,0,0,-5.16,-1.83%,0.0
2014-09-08,277.62,284.88,277.52,282.11,5501600,0,0,4.49,1.62%,1.0
2014-09-09,282.99,285.49,277.0,278.48,4558800,0,0,-4.51,-1.59%,0.0
2014-09-10,279.5,281.41,273.66,281.1,3781300,0,0,1.60,0.57%,1.0
2014-09-11,280.46,284.79,278.63,280.31,3766100,0,0,-0.15,-0.05%,0.0
2014-09-12,280.5,282.39,277.0,279.2,3324600,0,0,-1.30,-0.46%,0.0
2014-09-15,274.37,274.4,249.13,253.86,16455400,0,0,-20.51,-7.48%,0.0
2014-09-16,255.15,262.46,252.42,260.74,8300100,0,0,5.59,2.19%,1.0
2014-09-17,262.41,264.7,259.5,261.38,5177700,0,0,-1.03,-0.39%,0.0
2014-09-18,263.36,265.6,262.32,263.82,3692600,0,0,0.46,0.17%,1.0
2014-09-19,257.99,261.43,255.27,259.32,6810900,0,0,1.33,0.52%,1.0
2014-09-22,255.0,256.02,244.71,250.03,8214100,0,0,-4.97,-1.95%,0.0
2014-09-23,245.22,253.8,245.0,250.41,5658700,0,0,5.19,2.12%,1.0
2014-09-24,251.12,252.84,247.04,252.14,3749500,0,0,1.02,0.41%,1.0
2014-09-25,252.52,254.96,246.1,246.95,4834200,0,0,-5.57,-2.21%,0.0
2014-09-26,248.25,249.73,246.07,246.6,3795400,0,0,-1.65,-0.66%,0.0
2014-09-29,244.0,248.64,241.38,245.26,4852700,0,0,1.26,0.52%,1.0
2014-09-30,246.92,247.65,240.12,242.68,4238300,0,0,-4.24,-1.72%,0.0
2014-10-01,242.2,242.66,235.65,240.24,5941700,0,0,-1.96,-0.81%,0.0
2014-10-02,250.2,252.79,245.36,251.42,8998200,0,0,1.22,0.49%,1.0
2014-10-03,253.06,256.5,251.03,255.21,5406300,0,0,2.15,0.85%,1.0
2014-10-06,259.13,262.49,257.8,260.62,7713300,0,0,1.49,0.58%,1.0
2014-10-07,258.53,261.46,255.73,259.57,4485500,0,0,1.04,0.40%,1.0
2014-10-08,260.1,262.88,252.64,259.28,5055100,0,0,-0.82,-0.32%,0.0
2014-10-09,262.25,265.54,254.4,257.01,7361300,0,0,-5.24,-2.00%,0.0
2014-10-10,244.64,245.89,235.2,236.91,12888300,0,0,-7.73,-3.16%,0.0
2014-10-13,238.57,238.96,221.0,224.59,11268700,0,0,-13.98,-5.86%,0.0
2014-10-14,228.25,232.47,223.0,227.06,7105300,0,0,-1.19,-0.52%,0.0
2014-10-15,220.0,230.99,217.32,229.7,9147300,0,0,9.70,4.41%,1.0
2014-10-16,219.72,229.92,219.1,226.35,5399300,0,0,6.63,3.02%,1.0
2014-10-17,233.38,234.77,226.55,227.48,10549400,0,0,-5.90,-2.53%,0.0
2014-10-20,226.72,232.4,225.51,230.47,3494400,0,0,3.75,1.65%,1.0
2014-10-21,234.27,235.39,230.8,235.34,4130300,0,0,1.07,0.46%,1.0
2014-10-22,233.19,237.39,230.56,231.1,4116600,0,0,-2.09,-0.90%,0.0
2014-10-23,234.66,236.28,232.0,235.29,3492400,0,0,0.63,0.27%,1.0
2014-10-24,236.27,237.8,231.2,235.24,3463300,0,0,-1.03,-0.44%,0.0
2014-10-27,234.25,234.61,220.31,221.67,9553300,0,0,-12.58,-5.37%,0.0
2014-10-28,229.6,244.6,228.25,242.77,10516300,0,0,13.17,5.74%,1.0
2014-10-29,241.13,241.5,235.64,238.1,4962500,0,0,-3.03,-1.26%,0.0
2014-10-30,238.14,240.5,235.06,238.66,3228400,0,0,0.52,0.22%,1.0
2014-10-31,242.51,243.12,238.75,241.7,3775300,0,0,-0.81,-0.33%,0.0
2014-11-03,243.0,247.56,241.32,242.59,4203800,0,0,-0.41,-0.17%,0.0
2014-11-04,240.49,242.35,236.53,238.93,3682600,0,0,-1.56,-0.65%,0.0
2014-11-05,241.0,241.36,230.53,230.97,9045900,0,0,-10.03,-4.16%,0.0
2014-11-06,234.49,246.69,228.5,241.22,15354700,0,0,6.73,2.87%,1.0
2014-11-07,242.19,242.84,237.2,240.2,5161000,0,0,-1.99,-0.82%,0.0
2014-11-10,239.11,242.88,236.8,241.93,4577200,0,0,2.82,1.18%,1.0
2014-11-11,242.55,251.82,242.0,251.08,7948800,0,0,8.53,3.52%,1.0
2014-11-12,249.72,252.34,245.58,249.1,5870800,0,0,-0.62,-0.25%,0.0
2014-11-13,250.62,255.75,250.25,251.7,6236000,0,0,1.08,0.43%,1.0
2014-11-14,250.0,258.85,248.5,258.68,6101100,0,0,8.68,3.47%,1.0
